Label,VoxelCount,Volume,Centroid.X,Centroid.Y,Centroid.Z
1,30364,30364,506.142,137.317,11.454
2,28139,28139,548.209,157.526,13.022
3,26241,26241,577.228,160.454,9.652
4,28444,28444,608.826,162.637,13.835
5,49159,49159,795.200,157.736,17.284
6,30052,30052,302.575,178.814,11.382
7,39107,39107,440.020,172.467,15.885
8,29822,29822,768.618,162.363,15.737
9,26446,26446,688.258,196.040,8.368
10,18632,18632,768.935,199.817,6.192
11,27951,27951,395.327,197.618,11.592
12,35116,35116,857.079,201.262,8.721
13,26342,26342,637.856,213.569,9.581
14,24207,24207,611.481,228.844,9.430
15,20320,20320,735.628,223.357,6.933
16,27893,27893,332.561,222.217,9.398
17,26353,26353,529.016,224.885,10.765
18,66342,66342,570.457,238.723,17.333
19,15188,15188,478.939,228.700,5.161
20,25943,25943,435.001,235.337,9.500
21,29658,29658,824.410,231.238,9.846
22,21755,21755,756.098,237.888,10.613
23,34524,34524,775.870,214.410,18.301
24,33834,33834,792.243,251.942,9.870
25,28899,28899,867.942,254.151,8.378
26,28163,28163,164.891,241.143,9.924
27,32065,32065,643.398,249.442,16.895
28,29050,29050,541.073,258.765,11.829
29,15280,15280,511.441,259.682,6.734
30,25972,25972,625.341,269.871,11.090
31,16966,16966,664.620,274.390,5.413
32,24401,24401,684.788,261.058,11.419
33,25434,25434,383.112,253.439,13.414
34,26743,26743,222.395,254.837,10.646
35,19716,19716,436.043,272.269,5.841
36,28558,28558,728.399,268.876,11.846
37,12719,12719,400.034,273.304,7.131
38,14053,14053,120.254,259.552,10.777
39,80313,80313,757.686,277.627,19.624
40,10262,10262,101.268,263.547,7.947
41,23854,23854,704.737,280.679,12.084
42,39911,39911,836.396,269.106,13.765
43,31338,31338,310.978,259.650,18.255
44,13269,13269,320.911,281.588,5.793
45,29963,29963,499.632,281.688,13.974
46,29513,29513,601.002,285.313,10.412
47,34079,34079,468.761,295.006,12.632
48,20894,20894,235.369,288.168,6.463
49,52657,52657,910.798,288.636,14.568
50,13273,13273,521.824,297.849,5.462
51,21971,21971,637.440,306.090,7.216
52,29504,29504,160.337,289.592,8.945
53,34080,34080,972.136,288.491,12.939
54,34681,34681,561.885,319.169,11.912
55,23031,23031,362.464,302.314,13.780
56,28089,28089,729.762,313.057,7.051
57,18813,18813,409.037,322.726,7.426
58,21792,21792,334.216,315.474,12.633
59,31233,31233,486.684,323.074,8.771
60,29629,29629,769.557,321.217,10.358
61,37420,37420,588.074,333.623,10.601
62,13353,13353,7.304,323.651,12.320
63,20933,20933,272.697,331.485,5.537
64,27165,27165,692.104,325.525,11.686
65,20559,20559,532.178,329.476,9.703
66,29597,29597,828.607,337.877,6.203
67,31319,31319,620.512,337.898,11.376
68,41918,41918,448.366,353.324,11.939
69,27189,27189,202.950,328.621,15.109
70,26184,26184,365.877,335.279,12.967
71,56373,56373,734.764,358.864,11.682
72,38054,38054,504.521,366.624,9.758
73,30713,30713,779.386,359.711,8.245
74,15233,15233,309.049,355.503,8.618
75,14440,14440,367.013,365.591,7.031
76,35075,35075,657.070,340.237,13.154
77,32951,32951,484.381,354.590,20.254
78,28842,28842,268.079,359.305,16.481
79,39281,39281,597.505,370.383,13.115
80,24679,24679,640.152,378.193,7.815
81,29438,29438,701.806,382.194,6.067
82,52624,52624,805.122,354.529,18.183
83,19804,19804,392.755,380.292,8.610
84,23437,23437,563.860,384.849,8.422
85,34507,34507,531.937,382.827,10.934
86,9939,9939,157.211,388.079,3.877
87,29528,29528,893.207,362.428,13.845
88,32194,32194,665.528,375.608,18.352
89,21024,21024,302.709,382.810,12.783
90,38483,38483,265.781,389.352,15.918
91,14451,14451,330.362,393.655,8.542
92,46546,46546,792.874,389.647,16.458
93,39064,39064,754.269,404.638,10.823
94,13243,13243,498.761,403.292,6.371
95,17815,17815,620.261,405.638,10.518
96,8032,8032,181.631,402.690,4.340
97,7229,7229,381.827,410.379,4.124
98,26724,26724,645.312,417.801,10.648
99,21404,21404,684.049,418.969,6.904
100,49043,49043,34.874,412.283,20.457
101,18430,18430,324.488,418.316,8.848
102,25383,25383,897.683,400.956,14.192
103,45925,45925,434.922,422.613,16.239
104,15761,15761,599.602,423.899,7.837
105,17226,17226,463.410,425.229,8.732
106,22843,22843,482.139,433.438,15.526
107,13786,13786,506.881,431.992,7.474
108,19114,19114,529.897,432.240,9.854
109,17604,17604,549.876,437.060,7.970
110,43791,43791,569.636,431.166,17.685
111,24367,24367,109.548,429.198,7.327
112,30316,30316,284.078,438.271,10.635
113,24598,24598,800.755,426.197,11.000
114,11917,11917,165.064,441.213,5.410
115,25615,25615,880.776,426.980,11.092
116,31418,31418,703.102,436.136,17.225
117,9675,9675,390.681,436.030,6.796
118,17813,17813,372.945,447.975,11.090
119,46827,46827,676.856,451.272,16.241
120,22009,22009,733.062,449.614,7.903
121,4085,4085,323.076,444.850,3.906
122,37206,37206,611.527,453.064,11.484
123,40136,40136,772.675,445.467,12.038
124,12038,12038,451.046,455.009,6.911
125,16681,16681,143.943,460.617,5.960
126,31931,31931,46.036,453.918,22.482
127,7066,7066,313.511,465.250,4.469
128,4243,4243,654.532,463.442,3.523
129,15400,15400,476.273,468.958,7.002
130,21375,21375,395.436,469.702,7.724
131,25326,25326,878.363,468.758,11.596
132,31835,31835,928.694,474.567,11.391
133,39664,39664,513.863,460.427,16.408
134,49561,49561,744.310,468.237,16.038
135,16167,16167,583.989,482.028,6.084
136,26306,26306,581.278,454.573,24.738
137,38576,38576,365.386,475.745,16.556
138,14029,14029,554.680,481.232,7.472
139,16410,16410,449.870,483.516,9.100
140,23461,23461,117.613,482.254,8.914
141,38889,38889,231.416,481.775,13.460
142,12695,12695,857.630,497.183,5.650
143,43910,43910,677.248,504.124,10.053
144,44661,44661,528.805,492.513,17.388
145,26248,26248,427.487,480.151,17.616
146,11898,11898,626.440,503.364,4.135
147,20520,20520,709.957,495.544,7.464
148,41752,41752,602.674,501.215,16.953
149,19138,19138,783.183,513.809,6.708
150,1061,1061,137.394,495.453,10.858
151,42382,42382,470.531,504.468,17.360
