Label,VoxelCount,Volume,Centroid.X,Centroid.Y,Centroid.Z
1,30235,30235,506.100,137.333,11.498
2,28127,28127,548.203,157.527,13.021
3,26074,26074,577.256,160.547,9.670
4,28367,28367,608.817,162.584,13.838
5,49071,49071,795.209,157.759,17.277
6,29964,29964,302.548,178.872,11.412
7,39066,39066,440.016,172.470,15.896
8,29822,29822,768.618,162.363,15.737
9,26187,26187,688.221,195.929,8.381
10,18596,18596,768.859,199.902,6.175
11,27938,27938,395.331,197.622,11.587
12,35078,35078,856.601,201.610,8.698
13,26315,26315,637.848,213.591,9.582
14,24195,24195,611.443,228.953,9.420
15,20216,20216,735.593,223.402,6.895
16,27912,27912,332.879,222.344,9.392
17,26314,26314,529.019,224.899,10.774
18,66133,66133,570.481,238.764,17.306
19,15089,15089,479.041,228.657,5.136
20,25911,25911,434.978,235.331,9.508
21,29577,29577,824.429,231.196,9.833
22,21709,21709,756.115,237.921,10.597
23,34401,34401,775.916,214.429,18.299
24,33834,33834,792.243,251.942,9.870
25,28871,28871,867.941,254.155,8.382
26,27819,27819,164.765,241.289,9.992
27,32065,32065,643.398,249.442,16.895
28,29050,29050,541.073,258.765,11.829
29,15280,15280,511.441,259.682,6.734
30,25910,25910,625.283,269.913,11.071
31,16966,16966,664.620,274.390,5.413
32,24401,24401,684.788,261.058,11.419
33,25434,25434,383.112,253.439,13.414
34,26733,26733,222.628,254.881,10.649
35,19774,19774,436.786,272.860,5.823
36,28491,28491,728.427,268.890,11.828
37,12822,12822,400.938,277.193,7.098
38,14053,14053,120.254,259.552,10.777
39,80256,80256,757.672,277.618,19.633
40,10262,10262,101.268,263.547,7.947
41,23696,23696,704.737,280.758,11.998
42,39675,39675,836.490,269.204,13.758
43,31338,31338,310.978,259.650,18.255
44,13269,13269,320.911,281.588,5.793
45,29944,29944,499.778,282.217,13.952
46,29513,29513,601.002,285.313,10.412
47,34018,34018,468.740,295.009,12.637
48,20848,20848,235.336,288.163,6.476
49,52647,52647,910.797,288.633,14.566
50,13278,13278,521.866,297.930,5.460
51,22008,22008,636.389,306.790,7.205
52,29504,29504,160.337,289.592,8.945
53,34032,34032,972.114,288.498,12.941
54,34599,34599,561.834,319.208,11.936
55,22992,22992,362.483,302.334,13.784
56,28052,28052,729.722,313.116,7.040
57,18813,18813,409.037,322.726,7.426
58,21792,21792,334.216,315.474,12.633
59,31216,31216,486.690,323.085,8.775
60,29629,29629,769.557,321.217,10.358
61,37295,37295,588.083,333.564,10.610
62,13362,13362,7.623,323.784,12.312
63,20934,20934,273.978,331.472,5.525
64,27079,27079,691.939,325.678,11.661
65,20585,20585,532.334,329.262,9.694
66,29597,29597,828.607,337.877,6.203
67,31202,31202,620.523,337.894,11.397
68,41865,41865,448.376,353.332,11.929
69,27136,27136,202.965,328.601,15.134
70,26251,26251,366.694,335.927,12.938
71,56345,56345,734.769,358.851,11.681
72,38028,38028,504.534,366.611,9.764
73,30807,30807,777.493,359.833,8.224
74,15220,15220,309.042,355.504,8.609
75,14360,14360,367.096,365.616,7.040
76,35065,35065,657.073,340.238,13.155
77,32968,32968,484.440,354.457,20.252
78,28838,28838,268.080,359.304,16.483
